Srno,Company_Name,Bid_Opening_Date,Bid_Closing_Date,Face_Value,Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Issue_size,Fresh_issue,Offer_for_sale,Basis_of_Allotment_Date,Initiation_of_refunds,Credit_of_shares_to_demat_account,Listing_date,Listing_day,Listing_year,BSE_script_code,NSE_symbol,Listing_in,ISIN,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Registrar_Name,Pre_Issue_Share_Holding,Post_Issue_Share_Holding,NSE_Listing_day_open,NSE_Listing_day_low,NSE_Listing_day_high,NSE_Listing_day_last_trade,NSE_Listing_day_volume,NSE_SME_Listing_day_open,NSE_SME_Listing_day_low,NSE_SME_Listing_day_high,NSE_SME_Listing_day_last_trade,NSE_SME_Listing_day_volume,BSE_Listing_day_open,BSE_Listing_day_low,BSE_Listing_day_high,BSE_Listing_day_last_trade,BSE_Listing_day_volume,BSE_SME_Listing_day_open,BSE_SME_Listing_day_low,BSE_SME_Listing_day_high,BSE_SME_Listing_day_last_trade,BSE_SME_Listing_day_volume
783,Macpower CNC Machines Ltd ,"Mar 12, 2018","Mar 14, 2018",10,126,140,1000,NSE SME,"2,615,000 Eq Shares of ₹10 (aggregating up to ₹36.61 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, March 22, 2018",Thursday,2018,NaN,MACPOWER,NaN,INE155Z01011,NaN,1.92,5.07,3.8,Link Intime India Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,149,140,164.95,162.05,1854000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
784,East India Securities Ltd ,"Mar 5, 2018","Mar 7, 2018",10,920,920,160,BSE SME,"1,008,000 Eq Shares of ₹10 (aggregating up to ₹92.74 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, March 13, 2018",Tuesday,2018,541053,NaN,MT,INE482Z01019,NaN,NaN,NaN,NaN,Cameo Corporate Services Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,921.9,921.9,931,930,17760
785,Bandhan Bank Limited ,"Mar 15, 2018","Mar 19, 2018",10,370,375,40,"BSE, NSE","119,280,494 Eq Shares of ₹10 (aggregating up to ₹4,473.02 Cr)","97,663,910 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)","21,616,584 Eq Shares of ₹10 (aggregating up to ₹[.] Cr)","Mar 22, 2018","Mar 23, 2018","Mar 26, 2018","Tuesday, March 27, 2018",Tuesday,2018,541153,BANDHANBNK,NaN,INE545U01014,38.68,13.89,1.06,14.56,KFintech Private Limited,NaN,NaN,499,455,499,476.85,91036634,NaN,NaN,NaN,NaN,NaN,485,455,498.4,477.2,13907287,NaN,NaN,NaN,NaN,NaN
786,Inflame Appliances Ltd ,"Mar 6, 2018","Mar 8, 2018",10,54,54,2000,BSE SME,"1,200,000 Eq Shares of ₹10 (aggregating up to ₹6.48 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, March 16, 2018",Friday,2018,541083,NaN,MT,INE464Z01017,NaN,0.17,1.29,0.73,Skyline Financial Services Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.35,50.7,53.35,50.7,316000
787,Lex Nimble Solutions Ltd ,"Mar 12, 2018","Mar 23, 2018",10,57,57,2000,BSE SME,"1,112,000 Eq Shares of ₹10 (aggregating up to ₹6.34 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, April 4, 2018",Wednesday,2018,541196,NaN,MT,INE860Y01019,NaN,2,0.25,1.12,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.65,55.35,58.65,55.35,8000
788,Shreeshay Engineers Ltd ,"Mar 9, 2018","Mar 13, 2018",10,13,13,8000,BSE SME,"3,600,000 Eq Shares of ₹10 (aggregating up to ₹5.40 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, March 21, 2018",Wednesday,2018,541112,NaN,MT,INE452Z01012,NaN,1.22,1,1.11,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.25,15.05,15.25,15.23,144000
789,Active Clothing Co Ltd ,"Mar 12, 2018","Mar 16, 2018",10,65,65,2000,BSE SME,"4,086,000 Eq Shares of ₹10 (aggregating up to ₹26.56 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, March 26, 2018",Monday,2018,541144,NaN,M,INE380Z01015,NaN,1.91,0.43,1.17,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.95,61.75,66.4,65.65,604000
790,Bharat Dynamics Ltd ,"Mar 13, 2018","Mar 15, 2018",10,413,428,35,"BSE, NSE","22,451,953 Eq Shares of ₹10 (aggregating up to ₹960.94 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, March 23, 2018",Friday,2018,541143,BDL,B,INE171Z01018,1.5,0.5,1.37,1.29,Alankit Assignments Ltd,NaN,NaN,370,362,402.7,389.8,3939659,NaN,NaN,NaN,NaN,NaN,360,360,402.8,390.7,602710,NaN,NaN,NaN,NaN,NaN
791,Benara Bearings & Pistons Ltd ,"Mar 20, 2018","Mar 22, 2018",10,60,63,2000,BSE SME,"5,316,000 Eq Shares of ₹10 (aggregating up to ₹33.49 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, April 3, 2018",Tuesday,2018,541178,NaN,MT,INE495Z01011,NaN,1.06,2.77,1.91,Bigshare Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,61,64,61.95,2860000
792,Tara Chand Logistic Solutions Ltd ,"Mar 13, 2018","Mar 15, 2018",10,55,55,2000,NSE SME,"3,720,000 Eq Shares of ₹10 (aggregating up to ₹20.46 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, March 23, 2018",Friday,2018,NaN,TARACHAND,NaN,INE555Z01012,NaN,2.64,2.88,2.76,Sharex Dynamic (India) Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,47.7,56.05,49.05,1004000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
